Name,GPX_file,Type,Stafftype,Beds,Area,Lock,Season,Other
Kalhovd Turisthytte,ut-no_kalhovd-turisthytte,DNT,Betjent,75,Hardangervidda,DNT-Nøkkel,Stengt mid okt til slutt feb,
Gjendebu,ut-no_gjendebu,DNT,Betjent,119,Jotunheimen,Betjent,Stengt mid okt til slutt feb,
Fondsbu,ut-no_fondsbu,DNT,Betjent,100,Jotunheimen,Åpen,Stengt mid okt til slutt feb,
Kljåen,ut-no_kljen,DNT,Selvbetjent,8,Skarvheimen,DNT-Nøkkel,Stengt mid okt til slutt feb,
Lågaros,ut-no_lgaros,DNT,Selvbetjent,38,Hardangervidda,DNT-Nøkkel,Stengt mid okt til slutt feb,
Ljosland Fjellstove,ut-no_ljosland-fjellstove,Privat,Betjent,48,Setesdalsheiene,Åpen,Hele året,
Solheimstulen,ut-no_solheimstulen,DNT,Betjent,60,Hardangervidda,Betjent,Noe,
