Name,GPX_file,Type,Stafftype,Beds,Area,Lock,Season,Other
Køta i Stokkalia,ut-no_kta-i-stokkalia,Statsskog,Ubetjent,2,Nordland,Åpen,Hele året,Jordgamme
Bolnastua,ut-no_bolnastua,DNT,Ubetjent,15,Nordland,DNT-Nøkkel,Hele året,Strøm
Nordre løa på Tomasstranda,ut-no_nordre-la-p-tomasstranda,Statsskog,Nødbu,0,Nordland,Åpen,Hele året,
Søndre løa på Tomasstranda,ut-no_sndre-la-p-tomasstranda,Statsskog,Nødbu,0,Nordland,Åpen,Hele året,
Verdalen,ut-no_verdalen,Statsskog,Ubetjent,2,Nordland,Åpen,Hele året,
Randalskåta,ut-no_randalskta,Statsskog,Ubetjent,2,Nordland,Åpen,Hele året,Jordgamme
Corraskoia,ut-no_corraskoia,DNT,Nødbu,0,Nordland,Åpen,Hele året,
Virvasshytta,ut-no_virvasshytta,DNT,Ubetjent,16,Nordland,DNT-Nøkkel,Hele året,Strøm
Kvepsendalskoia,ut-no_kvepsendalskoia,DNT,Nødbu,0,Nordland,Åpen,Hele året,
Kvitsteindalstunet,ut-no_kvitsteindalstunet,DNT,Ubetjent,16,Nordland,DNT-Nøkkel,Hele året,Strøm
Sauvasshytta,ut-no_sauvasshytta,DNT,Ubetjent,9,Nordland,DNT-Nøkkel,Hele året,Strøm
Umbukta fjellstue,ut-no_umbukta-fjellstue,Privat,Betjent,25,Nordland,Betjent,Hele året,Strøm
Grasfjellkoia,ut-no_grasfjellkoia,DNT,Nødbu,0,Nordland,Åpen,Hele året,
Kjensvasshytta,ut-no_kjensvasshytta,DNT,Ubetjent,15,Nordland,DNT-Nøkkel,Hele året,Strøm
Gressvasshytta,ut-no_gressvasshytta,DNT,Ubetjent,14,Nordland,DNT-Nøkkel,Hele året,Strøm. Hytta er stengt
Spjeltfjelldalskøta,ut-no_spjeltfjelldalskta,Statsskog,Ubetjent,2,Nordland,Åpen,Hele året,Jordgamme
Stekvasselv gård,ut-no_stekvasselv-grd,Privat,Betjent,15,Nordland,Betjent,Hele året,Strøm
Sivertgården,ut-no_sivertgrden,Privat,Betjent,0,Nordland,Betjent,?,
Krutvasshytta,ut-no_krutvasshytta,Statsskog,Ubetjent,4,Nordland,Åpen,?,
Tverelvnes gård,ut-no_tverelvnes-grd,Privat,Betjent,13,Nordland,Betjent,Hele året,Strøm
Grannes Camping,ut-no_grannes-camping,Privat,Betjent,30,Nordland,Betjent,Hele året,Strøm
Daningen,ut-no_daningen,Privat,Ubetjent,6,Nordland,?,?,
Møteplass Børgefjell,ut-no_mteplass-brgefjell,Privat,Betjent,20,Nordland,Betjent,Hele året,Strøm
Furuheim gård,ut-no_furuheim-grd,Privat,Betjent,8,Nordland,Betjent,Hele året,Strøm
Tiplingen skogstue,ut-no_tiplingen-skogstue,Statsskog,Ubetjent,6,Nordland,Spesialnøkkel,Hele året,
Ranserbua,ut-no_ranserbua,Statsskog,Ubetjent,3,Nordland,Åpen,Hele året,
Viermahytta,ut-no_viermahytta,Privat,Ubetjent,0,Nordland,?,?,
Bustadslåtten,ut-no_bustadsltten,Privat,Ubetjent,0,Nordland,?,?,
Børgefjellbua,ut-no_brgefjellbua,Privat,Ubetjent,0,Nordland,?,?,
Bustadmo,ut-no_bustadmo,Privat,Ubetjent,0,Nordland,?,Hele året,
Solgløtt,ut-no_solgltt,Privat,Ubetjent,6,Nordland,Spesialnøkkel,Vinterstengt,
Øvre Mykkelvikseter,ut-no_vre-mykkelvikseter,Privat,Ubetjent,0,Nordland,?,?,
Skorovashøtta,ut-no_skorovashtta,DNT,Selvbetjent,12,SkjækerBlåFjella,DNT-Nøkkel,Hele året,Strøm
Messa Skorovatn,ut-no_messa-skorovatn,Privat,Betjent,20,SkjækerBlåFjella,Betjent,Hele året,Strøm
Finnkruhøtta,ut-no_finnkruhtta,DNT,Selvbetjent,4,SkjækerBlåFjella,DNT-Nøkkel,Hele året,
Midtre Nesåvatnet,ut-no_midtre-nesvatnet,Privat,Ubetjent,0,SkjækerBlåFjella,Spesialnøkkel,Hele året,
Kopmajoki,ut-no_kopmajoki,Privat,Nødbu,0,TromsFinnmark,?,?,
Pihtsusjärvi,ut-no_pihtsusjrvi,Privat,Ubetjent,10,TromsFinnmark,Åpen,Hele året,
Meekonjärvi,ut-no_meekonjrvi,Privat,Nødbu,0,TromsFinnmark,?,?,
Kuonjarjoki,ut-no_kuonjarjoki,Privat,Ubetjent,10,TromsFinnmark,Åpen,?,
Saarijärvi,ut-no_saarijrvi,Privat,Nødbu,0,TromsFinnmark,Åpen,Hele året,
Lapland Hotels Kilpis,ut-no_lapland-hotels-kilpis,Privat,Betjent,0,TromsFinnmark,Betjent,?,
Kilpisjärven Retkeilykeskus,ut-no_kilpisjrven-retkeilykeskus,Privat,Betjent,56,TromsFinnmark,Betjent,?,Strøm
Kuohkimajärvi,ut-no_kuohkimajrvi,Privat,Nødbu,0,TromsFinnmark,Åpen,Hele året,
Goldahytta,ut-no_goldahytta,DNT,Ubetjent,22,TromsFinnmark,DNT-Nøkkel,Hele året,
Gappohytta,ut-no_gappohytta,DNT,Ubetjent,24,TromsFinnmark,DNT-Nøkkel,Hele året,Strøm
Moskanhytta,ut-no_moskanhytta,Statsskog,Ubetjent,3,TromsFinnmark,Åpen,Hele året,
Pältsa Fjällstuga,ut-no_pltsa-fjllstuga,STF,Ubetjent,22,TromsFinnmark,?,?,Nødtelefon
